date,category,subcategory,name,price,url
2026-04-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),973000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480
2026-04-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),631500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400
2026-04-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),428000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843
2026-04-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),300000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055
2026-04-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),349900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313
2026-04-05,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),199000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764
2026-04-05,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),193500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681
2026-04-05,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),498000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677
2026-04-05,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680
2026-04-05,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),370000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414
2026-04-05,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),259000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660
2026-04-05,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),363000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235
2026-04-05,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),322500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=977732
2026-04-05,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),374000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1004773
2026-04-05,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),308000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1123155
2026-04-05,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),313000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1293860
2026-04-05,RAM,DDR4 (16GB),삼성전자 DDR4-3200 (16GB),262000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=681708
2026-04-05,RAM,DDR4 (16GB),ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),191000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=683834
2026-04-05,RAM,DDR5 튜닝램 (32GB),G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB),730520,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=876580
2026-04-05,RAM,DDR5 튜닝램 (32GB),ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB),770490,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1103977
2026-04-05,GPU,RTX 5090,MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6396000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1214687
2026-04-05,GPU,RTX 5090,PALIT 지포스 RTX 5090 GAMEROCK D7 32GB 이엠텍,6443500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1213365
2026-04-05,GPU,RTX 5090,GIGABYTE AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 제이씨현,6337000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1207824
2026-04-05,GPU,RTX 5090,ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,7184000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1226178
2026-04-05,GPU,RTX 5080,PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2137500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1207819
