date,category,subcategory,name,price,url
2026-03-19,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),985400,https://prod.danawa.com/info/?pcode=77790914&cate=112747
2026-03-19,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),659500,https://prod.danawa.com/info/?pcode=70531547&cate=112747
2026-03-19,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),446900,https://prod.danawa.com/info/?pcode=19627934&cate=112747
2026-03-19,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),306780,https://prod.danawa.com/info/?pcode=62794079&cate=112747
2026-03-19,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),350870,https://prod.danawa.com/info/?pcode=104223188&cate=112747
2026-03-19,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),218870,https://prod.danawa.com/info/?pcode=21694499&cate=112747
2026-03-19,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),210000,https://prod.danawa.com/info/?pcode=14927675&cate=112747
2026-03-19,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),492100,https://prod.danawa.com/info/?pcode=69059687&cate=112747
2026-03-19,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),344490,https://prod.danawa.com/info/?pcode=69059753&cate=112747
2026-03-19,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),368520,https://prod.danawa.com/info/?pcode=28799654&cate=112747
2026-03-19,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),243000,https://prod.danawa.com/info/?pcode=76555634&cate=112747
2026-03-19,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),317770,https://prod.danawa.com/info/?pcode=18911780&cate=112752
2026-03-19,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),334280,https://prod.danawa.com/info/?pcode=18965774&cate=112752
2026-03-19,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),318890,https://prod.danawa.com/info/?pcode=18883523&cate=112752
2026-03-19,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),297310,https://prod.danawa.com/info/?pcode=20369126&cate=112752
2026-03-19,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),335000,https://prod.danawa.com/info/?pcode=99893666
2026-03-19,RAM,DDR4 (16GB),삼성전자 DDR4-3200 (16GB),208770,https://prod.danawa.com/info/?pcode=11790199
2026-03-19,RAM,DDR4 (16GB),ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),202050,https://prod.danawa.com/info/?pcode=11787091&cate=112752
2026-03-19,RAM,DDR5 튜닝램 (32GB),G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB(16Gx2)),745900,https://prod.danawa.com/info/?pcode=17931893&cate=112752
2026-03-19,RAM,DDR5 튜닝램 (32GB),ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),771820,https://prod.danawa.com/info/?pcode=32076077&cate=112752
2026-03-19,GPU,RTX 5090,MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6098700,https://prod.danawa.com/info/?pcode=76550939&cate=112753
2026-03-19,GPU,RTX 5090,PALIT 지포스 RTX 5090 GAMEROCK D7 32GB 이엠텍,6000770,https://prod.danawa.com/info/?pcode=75376490&cate=112753
2026-03-19,GPU,RTX 5090,GIGABYTE AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 제이씨현,6198760,https://prod.danawa.com/info/?pcode=75184277&cate=112753
2026-03-19,GPU,RTX 5090,ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,6690000,https://prod.danawa.com/info/?pcode=75375449&cate=112753
2026-03-19,GPU,RTX 5080,PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2080360,https://prod.danawa.com/info/?pcode=75184250&cate=112753
2026-03-19,GPU,RTX 5080,MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2373700,https://prod.danawa.com/info/?pcode=75541700&cate=112753
2026-03-19,GPU,RTX 5080,ZOTAC GAMING 지포스 RTX 5080 AMP EXTREME INFINITY D7 16GB,2308470,https://prod.danawa.com/info/?pcode=74971838&cate=112753
2026-03-19,GPU,RTX 5080,GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 피씨디렉트,2117330,https://prod.danawa.com/info/?pcode=75074666&cate=112753
2026-03-19,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1543430,https://prod.danawa.com/info/?pcode=76464143&cate=112753
2026-03-19,GPU,RTX 5070 Ti,MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1727500,https://prod.danawa.com/info/?pcode=90160715&cate=112753
2026-03-19,GPU,RTX 5070 Ti,이엠텍 지포스 RTX 5070 Ti MIRACLE WHITE D7 16GB,1609500,https://prod.danawa.com/info/?pcode=77020520&cate=112753
