date,category,subcategory,name,price,url
2026-05-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77790914
2026-05-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),631000,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=70531547
2026-05-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),413800,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=19627934
2026-05-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),302130,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=62794079
2026-05-05,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),393740,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=104223188
2026-05-05,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),207350,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=21694499
2026-05-05,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),226290,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=14927675
2026-05-05,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),534410,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=69059687
2026-05-05,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),377600,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=69059753
2026-05-05,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),557050,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=108424286&productRegisterAreaGroupSeq=100&serviceSectionSeq=594
2026-05-05,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),390380,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=108424451&productRegisterAreaGroupSeq=100&serviceSectionSeq=594
2026-05-05,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),423150,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=28799654
2026-05-05,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),278300,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=76555634
2026-05-05,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),379750,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18911780
2026-05-05,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),334450,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18965774
2026-05-05,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),384790,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18883523
2026-05-05,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),322040,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=20369126
2026-05-05,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),321660,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=99893666
2026-05-05,RAM,DDR4 (16GB),삼성전자 DDR4-3200 (16GB),278730,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=11790199
2026-05-05,RAM,DDR4 (16GB),ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),205260,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=11787091
2026-05-05,RAM,DDR5 튜닝램 (32GB),G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB(16Gx2)),893620,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=17931893
2026-05-05,RAM,DDR5 튜닝램 (32GB),ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),819000,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=32076077
