date,gpu_group,count,avg_price,min_price,max_price
2026-03-18,RTX 5090,4,6284678,6000840,6690000
2026-03-18,RTX 5080,4,2220245,2080460,2374490
2026-03-18,RTX 5070 Ti,4,1657122,1543430,1747570
2026-03-18,RTX 5070,4,1051300,995000,1117350
2026-03-18,RTX 5060 Ti,4,804512,633630,905610
2026-03-18,RTX 5060,4,589498,577380,605840
2026-03-18,RX 9070 XT,6,1261218,1096350,1423100
2026-03-18,RX 9060 XT,3,719380,659740,788400
2026-03-18,RTX 5090,4,6284678,6000840,6690000
2026-03-18,RTX 5080,4,2220242,2080460,2374490
2026-03-18,RTX 5070 Ti,4,1657120,1543430,1747560
2026-03-18,RTX 5070,4,1051300,995000,1117350
2026-03-18,RTX 5060 Ti,4,804512,633630,905610
2026-03-18,RTX 5060,4,589498,577380,605840
2026-03-18,RX 9070 XT,6,1261218,1096350,1423100
2026-03-18,RX 9060 XT,3,719377,659730,788400
2026-03-18,RTX 5090,4,6284648,6000830,6690000
2026-03-18,RTX 5080,4,2220232,2080440,2374490
2026-03-18,RTX 5070 Ti,4,1657110,1543430,1747540
2026-03-18,RTX 5070,4,1051298,995000,1117350
2026-03-18,RTX 5060 Ti,4,831662,633520,907590
2026-03-18,RTX 5060,4,589470,577280,605840
2026-03-18,RX 9070 XT,6,1261207,1096340,1423080
2026-03-18,RX 9060 XT,3,719340,659730,788290
