date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,price_diff,cheaper
2026-03-18,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),985740,https://prod.danawa.com/info/?pcode=77790914&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,32353260,다나와
2026-03-18,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),659830,https://prod.danawa.com/info/?pcode=70531547&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,32679170,다나와
2026-03-18,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),447230,https://prod.danawa.com/info/?pcode=19627934&cate=112747,450000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,2770,다나와
2026-03-18,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),306970,https://prod.danawa.com/info/?pcode=62794079&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,33032030,다나와
2026-03-18,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),350990,https://prod.danawa.com/info/?pcode=104223188&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,32988010,다나와
2026-03-18,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),219450,https://prod.danawa.com/info/?pcode=21694499&cate=112747,225000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,5550,다나와
2026-03-18,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),212670,https://prod.danawa.com/info/?pcode=14927675&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,33126330,다나와
2026-03-18,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),492430,https://prod.danawa.com/info/?pcode=69059687&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,32846570,다나와
2026-03-18,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),344960,https://prod.danawa.com/info/?pcode=69059753&cate=112747,356000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,11040,다나와
2026-03-18,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),368870,https://prod.danawa.com/info/?pcode=28799654&cate=112747,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,32970130,다나와
2026-03-18,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),243050,https://prod.danawa.com/info/?pcode=76555634&cate=112747,249300,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660,6250,다나와
2026-03-18,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),317890,https://prod.danawa.com/info/?pcode=18911780&cate=112752,353000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235,35110,다나와
2026-03-18,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),334280,https://prod.danawa.com/info/?pcode=18965774&cate=112752,332660,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=977732,-1620,컴퓨존
2026-03-18,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),318560,https://prod.danawa.com/info/?pcode=18883523&cate=112752,363800,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1004773,45240,다나와
2026-03-18,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),297430,https://prod.danawa.com/info/?pcode=20369126&cate=112752,320000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1123155,22570,다나와
2026-03-18,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),335000,https://prod.danawa.com/info/?pcode=99893666,335000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1293860,0,동일
2026-03-18,RAM,DDR4 (16GB),삼성전자 DDR4-3200 (16GB),210220,https://prod.danawa.com/info/?pcode=11790199,258000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=681708,47780,다나와
2026-03-18,RAM,DDR4 (16GB),ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),202280,https://prod.danawa.com/info/?pcode=11787091&cate=112752,201400,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=683834,-880,컴퓨존
2026-03-18,RAM,DDR5 튜닝램 (32GB),G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB(16Gx2)),745900,https://prod.danawa.com/info/?pcode=17931893&cate=112752,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=876580,32593100,다나와
2026-03-18,RAM,DDR5 튜닝램 (32GB),ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),775020,https://prod.danawa.com/info/?pcode=32076077&cate=112752,770490,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1103977,-4530,컴퓨존
2026-03-18,GPU,RTX 5090,MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6098990,https://prod.danawa.com/info/?pcode=76550939&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1214687,27240010,다나와
2026-03-18,GPU,RTX 5090,PALIT 지포스 RTX 5090 GAMEROCK D7 32GB 이엠텍,6000830,https://prod.danawa.com/info/?pcode=75376490&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1213365,27338170,다나와
2026-03-18,GPU,RTX 5090,GIGABYTE AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 제이씨현,6348770,https://prod.danawa.com/info/?pcode=75184277&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1207824,26990230,다나와
2026-03-18,GPU,RTX 5090,ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,6690000,https://prod.danawa.com/info/?pcode=75375449&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1226178,26649000,다나와
2026-03-18,GPU,RTX 5080,PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2080440,https://prod.danawa.com/info/?pcode=75184250&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1207819,31258560,다나와
2026-03-18,GPU,RTX 5080,MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2374490,https://prod.danawa.com/info/?pcode=75541700&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219896,30964510,다나와
2026-03-18,GPU,RTX 5080,ZOTAC GAMING 지포스 RTX 5080 AMP EXTREME INFINITY D7 16GB,2308530,https://prod.danawa.com/info/?pcode=74971838&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1233931,31030470,다나와
2026-03-18,GPU,RTX 5080,GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 피씨디렉트,2117470,https://prod.danawa.com/info/?pcode=75074666&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1208203,31221530,다나와
2026-03-18,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1543430,https://prod.danawa.com/info/?pcode=76464143&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216309,31795570,다나와
2026-03-18,GPU,RTX 5070 Ti,MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1727890,https://prod.danawa.com/info/?pcode=90160715&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1240179,31611110,다나와
2026-03-18,GPU,RTX 5070 Ti,이엠텍 지포스 RTX 5070 Ti MIRACLE WHITE D7 16GB,1609580,https://prod.danawa.com/info/?pcode=77020520&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1218402,31729420,다나와
2026-03-18,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti AMP Extreme Infinity D7 16GB,1747540,https://prod.danawa.com/info/?pcode=76464395&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1250310,31591460,다나와
2026-03-18,GPU,RTX 5070,PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1023840,https://prod.danawa.com/info/?pcode=79402577&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1230077,32315160,다나와
2026-03-18,GPU,RTX 5070,MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1117350,https://prod.danawa.com/info/?pcode=77379380&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219124,32221650,다나와
2026-03-18,GPU,RTX 5070,ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,1069000,https://prod.danawa.com/info/?pcode=77319413&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219162,32270000,다나와
2026-03-18,GPU,RTX 5070,MSI 지포스 RTX 5070 벤투스 2X OC D7 12GB,995000,https://prod.danawa.com/info/?pcode=77379452&cate=112753,1039000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219561,44000,다나와
2026-03-18,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,633520,https://prod.danawa.com/info/?pcode=89732453&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1237808,32705480,다나와
2026-03-18,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,879950,https://prod.danawa.com/info/?pcode=81037490&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1233153,32459050,다나와
2026-03-18,GPU,RTX 5060 Ti,ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 16GB,905590,https://prod.danawa.com/info/?pcode=81062540&cate=112753,971000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1232874,65410,다나와
2026-03-18,GPU,RTX 5060 Ti,이엠텍 지포스 RTX 5060 Ti MIRACLE WHITE D7 16GB,928990,https://prod.danawa.com/info/?pcode=91189013&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1245567,32410010,다나와
2026-03-18,GPU,RTX 5060,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,605840,https://prod.danawa.com/info/?pcode=90956033&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1242692,32733160,다나와
2026-03-18,GPU,RTX 5060,PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,577280,https://prod.danawa.com/info/?pcode=90887879&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1242780,32761720,다나와
2026-03-18,GPU,RTX 5060,GAINWARD 지포스 RTX 5060 고스트 D7 8GB,592770,https://prod.danawa.com/info/?pcode=90892928&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1243238,32746230,다나와
2026-03-18,GPU,RTX 5060,ZOTAC GAMING 지포스 RTX 5060 Twin Edge OC D7 8GB,581890,https://prod.danawa.com/info/?pcode=91910279&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1250311,32757110,다나와
2026-03-18,GPU,RX 9070 XT,XFX 라데온 RX 9070 XT SWIFT D6 16GB,1096340,https://prod.danawa.com/info/?pcode=77378288&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220434,32242660,다나와
2026-03-18,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1423000,https://prod.danawa.com/info/?pcode=77378093&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219208,31916000,다나와
2026-03-18,GPU,RX 9070 XT,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,1179850,https://prod.danawa.com/info/?pcode=77461292&cate=112753,1179990,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1217151,140,다나와
2026-03-18,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT PURE OC D6 16GB,1337080,https://prod.danawa.com/info/?pcode=77381780&cate=112753,1390000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219207,52920,다나와
2026-03-18,GPU,RX 9070 XT,ASRock 라데온 RX 9070 XT 스틸레전드 D6 16GB 대원씨티에스,1243000,https://prod.danawa.com/info/?pcode=77318285&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219304,32096000,다나와
2026-03-18,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT PULSE D6 16GB,1287800,https://prod.danawa.com/info/?pcode=77378039&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1219206,32051200,다나와
2026-03-18,GPU,RX 9060 XT,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 제이씨현,788290,https://prod.danawa.com/info/?pcode=91867763&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1248140,32550710,다나와
2026-03-18,GPU,RX 9060 XT,XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 16GB,710000,https://prod.danawa.com/info/?pcode=92892695&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1259426,32629000,다나와
2026-03-18,GPU,RX 9060 XT,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,659730,https://prod.danawa.com/info/?pcode=91909763&cate=112753,33339000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1249266,32679270,다나와
2026-03-18,SSD,최상급 1TB,삼성전자 9100 PRO M.2 NVMe (1TB),433630,https://prod.danawa.com/info/?pcode=78716702&cate=11335282,446600,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1221931,12970,다나와
2026-03-18,SSD,최상급 1TB,Western Digital WD BLACK SN8100 M.2 NVMe (1TB),490070,https://prod.danawa.com/info/?pcode=92186393,513000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1250341,22930,다나와
